feedback_id,application_id,stage_id,interviewer_id,date_of_interview,decision,decision_reason
FB-00375,APP-0147,STG-0097,IV-015,2026-08-19,No,Insufficient years of experience
FB-00376,APP-0148,STG-0096,IV-008,2026-07-26,Yes,
FB-00377,APP-0148,STG-0097,IV-001,2026-07-29,No,Commute concerns
FB-00378,APP-0149,STG-0096,IV-017,2026-08-05,No,Too junior for role level
FB-00379,APP-0150,STG-0096,IV-009,2026-08-04,Yes,
FB-00380,APP-0150,STG-0097,IV-001,2026-08-04,Yes,
FB-00381,APP-0150,STG-0098,IV-016,2026-08-04,No,Failed coding bar
FB-00382,APP-0151,STG-0096,IV-001,2026-08-17,Yes,
FB-00383,APP-0151,STG-0097,IV-009,2026-08-17,No,Insufficient years of experience
FB-00384,APP-0152,STG-0096,IV-001,2026-08-04,Yes,
FB-00385,APP-0152,STG-0097,IV-008,2026-08-04,No,Too junior for role level
FB-00386,APP-0153,STG-0044,IV-002,2026-06-29,No,Missing required skill
FB-00387,APP-0154,STG-0044,IV-002,2026-07-18,Yes,
FB-00388,APP-0154,STG-0045,IV-007,2026-07-20,Yes,
FB-00389,APP-0154,STG-0046,IV-001,2026-07-25,No,Location mismatch
FB-00390,APP-0155,STG-0044,IV-002,2026-08-08,Yes,
FB-00391,APP-0155,STG-0045,IV-001,2026-08-09,Yes,
FB-00392,APP-0155,STG-0046,IV-001,2026-08-12,No,Commute concerns
FB-00393,APP-0156,STG-0044,IV-003,2026-08-02,Yes,
FB-00394,APP-0156,STG-0045,IV-007,2026-08-05,No,Not good team fit
FB-00395,APP-0157,STG-0044,IV-001,2026-07-29,Yes,
FB-00396,APP-0157,STG-0045,IV-001,2026-07-29,Yes,
FB-00397,APP-0157,STG-0046,IV-001,2026-08-03,Yes,
FB-00398,APP-0157,STG-0047,IV-001,2026-08-07,No,Missing required skill
FB-00399,APP-0158,STG-0044,IV-001,2026-08-05,Yes,
FB-00400,APP-0158,STG-0045,IV-001,2026-08-08,Yes,
FB-00401,APP-0158,STG-0046,IV-001,2026-08-10,Yes,
FB-00402,APP-0158,STG-0047,IV-001,2026-08-11,Yes,
FB-00403,APP-0158,STG-0048,IV-008,2026-08-14,Yes,
FB-00404,APP-0158,STG-0049,IV-001,2026-08-19,Yes,
FB-00405,APP-0158,STG-0050,IV-001,2026-08-20,Yes,
FB-00406,APP-0158,STG-0051,IV-001,2026-08-25,Yes,
FB-00407,APP-0159,STG-0044,IV-003,2026-07-16,Yes,
FB-00408,APP-0159,STG-0045,IV-001,2026-07-18,Yes,
FB-00409,APP-0159,STG-0046,IV-001,2026-07-22,Yes,
FB-00410,APP-0159,STG-0047,IV-001,2026-07-25,Yes,
FB-00411,APP-0159,STG-0048,IV-001,2026-07-29,No,Missing required skill
FB-00412,APP-0160,STG-0044,IV-001,2026-08-17,No,Too junior for role level
FB-00413,APP-0161,STG-0044,IV-001,2026-06-27,No,Insufficient years of experience
FB-00414,APP-0162,STG-0044,IV-001,2026-07-11,Yes,
FB-00415,APP-0162,STG-0045,IV-007,2026-07-13,No,Not good team fit
FB-00416,APP-0163,STG-0044,IV-001,2026-08-05,Yes,
FB-00417,APP-0163,STG-0045,IV-003,2026-08-07,Yes,
FB-00418,APP-0163,STG-0046,IV-006,2026-08-08,No,Salary expectations misaligned
FB-00419,APP-0164,STG-0044,IV-001,2026-07-15,Yes,
FB-00420,APP-0164,STG-0045,IV-001,2026-07-16,Yes,
FB-00421,APP-0164,STG-0046,IV-007,2026-07-19,Yes,
FB-00422,APP-0164,STG-0047,IV-001,2026-07-22,No,Missing required skill
FB-00423,APP-0165,STG-0044,IV-001,2026-07-20,No,Too junior for role level
FB-00424,APP-0166,STG-0087,IV-008,2026-07-19,Yes,
FB-00425,APP-0166,STG-0088,IV-010,2026-07-22,Yes,
FB-00426,APP-0166,STG-0089,IV-001,2026-07-24,Yes,
FB-00427,APP-0166,STG-0090,IV-009,2026-07-26,Yes,
FB-00428,APP-0166,STG-0091,IV-001,2026-07-28,Yes,
FB-00429,APP-0166,STG-0092,IV-009,2026-07-30,Yes,
FB-00430,APP-0166,STG-0093,IV-009,2026-08-01,No,Not good team fit
FB-00431,APP-0167,STG-0087,IV-001,2026-08-04,Yes,
FB-00432,APP-0167,STG-0088,IV-012,2026-08-06,No,Missing required skill
FB-00433,APP-0168,STG-0087,IV-001,2026-08-14,Yes,
FB-00434,APP-0168,STG-0088,IV-008,2026-08-16,No,Commute concerns
FB-00435,APP-0169,STG-0087,IV-014,2026-07-08,Yes,
FB-00436,APP-0169,STG-0088,IV-010,2026-07-08,Yes,
FB-00437,APP-0169,STG-0089,IV-008,2026-07-11,Yes,
FB-00438,APP-0169,STG-0090,IV-009,2026-07-14,Yes,
FB-00439,APP-0169,STG-0091,IV-001,2026-07-18,Yes,
FB-00440,APP-0169,STG-0092,IV-009,2026-07-18,Yes,
FB-00441,APP-0169,STG-0093,IV-001,2026-07-18,Yes,
FB-00442,APP-0169,STG-0094,IV-001,2026-07-28,Yes,
FB-00443,APP-0170,STG-0087,IV-008,2026-08-14,No,Insufficient years of experience
FB-00444,APP-0171,STG-0087,IV-013,2026-07-27,No,Too junior for role level
FB-00445,APP-0172,STG-0087,IV-001,2026-08-11,Yes,
FB-00446,APP-0172,STG-0088,IV-008,2026-08-12,No,Salary expectations misaligned
FB-00447,APP-0173,STG-0087,IV-013,2026-07-26,Yes,
FB-00448,APP-0173,STG-0088,IV-001,2026-07-27,No,Location mismatch
FB-00449,APP-0174,STG-0087,IV-008,2026-08-13,No,Failed coding bar
FB-00450,APP-0175,STG-0087,IV-011,2026-08-09,Yes,
FB-00451,APP-0175,STG-0088,IV-001,2026-08-10,Yes,
FB-00452,APP-0175,STG-0089,IV-008,2026-08-10,Yes,
FB-00453,APP-0175,STG-0090,IV-014,2026-08-13,No,Salary expectations misaligned
FB-00454,APP-0176,STG-0087,IV-013,2026-07-10,No,Missing required skill
FB-00455,APP-0177,STG-0087,IV-008,2026-07-13,Yes,
FB-00456,APP-0177,STG-0088,IV-001,2026-07-13,No,Insufficient years of experience
FB-00457,APP-0178,STG-0087,IV-008,2026-08-04,No,Missing required skill
FB-00458,APP-0179,STG-0087,IV-011,2026-08-08,Yes,
FB-00459,APP-0179,STG-0088,IV-001,2026-08-09,Yes,
FB-00460,APP-0179,STG-0089,IV-013,2026-08-13,Yes,
FB-00461,APP-0179,STG-0090,IV-013,2026-08-18,Yes,
FB-00462,APP-0179,STG-0091,IV-001,2026-08-25,No,Weak frontend system design - state management at scale
FB-00463,APP-0180,STG-0087,IV-008,2026-08-11,No,Too junior for role level
FB-00464,APP-0181,STG-0017,IV-001,2026-08-05,Yes,
FB-00465,APP-0181,STG-0018,IV-008,2026-08-08,Yes,
FB-00466,APP-0181,STG-0019,IV-001,2026-08-10,Yes,
FB-00467,APP-0181,STG-0020,IV-001,2026-08-13,Yes,
FB-00468,APP-0181,STG-0021,IV-009,2026-08-20,Yes,
FB-00469,APP-0181,STG-0022,IV-001,2026-08-21,Yes,
FB-00470,APP-0181,STG-0023,IV-001,2026-08-21,Yes,
FB-00471,APP-0181,STG-0024,IV-001,2026-08-26,Yes,
FB-00472,APP-0182,STG-0017,IV-006,2026-08-09,Yes,
FB-00473,APP-0182,STG-0018,IV-006,2026-08-12,Yes,
FB-00474,APP-0182,STG-0019,IV-004,2026-08-14,Yes,
FB-00475,APP-0182,STG-0020,IV-001,2026-08-17,Yes,
FB-00476,APP-0182,STG-0021,IV-001,2026-08-23,Yes,
FB-00477,APP-0182,STG-0022,IV-006,2026-08-27,No,Location mismatch
FB-00478,APP-0183,STG-0017,IV-003,2026-08-18,Yes,
FB-00479,APP-0183,STG-0018,IV-005,2026-08-21,No,Insufficient years of experience
FB-00480,APP-0184,STG-0017,IV-001,2026-08-07,No,Insufficient years of experience
FB-00481,APP-0185,STG-0017,IV-001,2026-08-18,No,Insufficient years of experience
FB-00482,APP-0186,STG-0017,IV-001,2026-08-18,Yes,
FB-00483,APP-0186,STG-0018,IV-001,2026-08-20,Yes,
FB-00484,APP-0186,STG-0019,IV-008,2026-08-25,No,Failed coding bar
FB-00485,APP-0187,STG-0017,IV-002,2026-08-01,Yes,
FB-00486,APP-0187,STG-0018,IV-004,2026-08-03,Yes,
FB-00487,APP-0187,STG-0019,IV-005,2026-08-05,Yes,
FB-00488,APP-0187,STG-0020,IV-003,2026-08-10,No,Location mismatch
FB-00489,APP-0188,STG-0017,IV-004,2026-07-30,Yes,
FB-00490,APP-0188,STG-0018,IV-007,2026-07-30,No,Location mismatch
FB-00491,APP-0189,STG-0017,IV-001,2026-08-01,Yes,
FB-00492,APP-0189,STG-0018,IV-001,2026-08-03,No,Not good team fit
FB-00493,APP-0190,STG-0017,IV-007,2026-08-14,No,Location mismatch
FB-00494,APP-0191,STG-0112,IV-001,2026-08-06,Yes,
FB-00495,APP-0191,STG-0113,IV-001,2026-08-06,No,Not good team fit
FB-00496,APP-0192,STG-0112,IV-015,2026-08-15,No,Location mismatch
FB-00497,APP-0193,STG-0112,IV-001,2026-08-08,Yes,
FB-00498,APP-0193,STG-0113,IV-001,2026-08-11,Yes,
FB-00499,APP-0193,STG-0114,IV-001,2026-08-15,Yes,
FB-00500,APP-0193,STG-0115,IV-009,2026-08-16,No,Failed coding bar
FB-00501,APP-0194,STG-0112,IV-009,2026-08-05,Yes,
FB-00502,APP-0194,STG-0113,IV-018,2026-08-06,Yes,
FB-00503,APP-0194,STG-0114,IV-015,2026-08-11,Yes,
FB-00504,APP-0194,STG-0115,IV-001,2026-08-16,No,Failed coding bar
FB-00505,APP-0195,STG-0112,IV-016,2026-08-08,Yes,
FB-00506,APP-0195,STG-0113,IV-009,2026-08-10,Yes,
FB-00507,APP-0195,STG-0114,IV-017,2026-08-11,Yes,
FB-00508,APP-0195,STG-0115,IV-001,2026-08-16,No,Failed coding bar
FB-00509,APP-0196,STG-0112,IV-016,2026-08-14,Yes,
FB-00510,APP-0196,STG-0113,IV-018,2026-08-17,Yes,
FB-00511,APP-0196,STG-0114,IV-015,2026-08-22,Yes,
FB-00512,APP-0196,STG-0115,IV-001,2026-08-26,No,Location mismatch
FB-00513,APP-0197,STG-0112,IV-015,2026-08-05,Yes,
FB-00514,APP-0197,STG-0113,IV-001,2026-08-05,Yes,
FB-00515,APP-0197,STG-0114,IV-015,2026-08-10,Yes,
FB-00516,APP-0197,STG-0115,IV-001,2026-08-14,Yes,
FB-00517,APP-0197,STG-0116,IV-018,2026-08-18,No,Salary expectations misaligned
FB-00518,APP-0198,STG-0112,IV-001,2026-08-06,Yes,
FB-00519,APP-0198,STG-0113,IV-015,2026-08-08,No,Salary expectations misaligned
FB-00520,APP-0199,STG-0112,IV-001,2026-08-13,Yes,
FB-00521,APP-0199,STG-0113,IV-001,2026-08-14,No,Commute concerns
FB-00522,APP-0200,STG-0112,IV-017,2026-08-14,Yes,
FB-00523,APP-0200,STG-0113,IV-016,2026-08-14,No,Not good team fit
FB-00524,APP-0201,STG-0112,IV-018,2026-08-15,No,Salary expectations misaligned
FB-00525,APP-0202,STG-0112,IV-018,2026-08-08,Yes,
FB-00526,APP-0202,STG-0113,IV-018,2026-08-10,Yes,
FB-00527,APP-0202,STG-0114,IV-001,2026-08-13,Yes,
FB-00528,APP-0202,STG-0115,IV-008,2026-08-14,No,Not good team fit
FB-00529,APP-0203,STG-0112,IV-017,2026-08-20,Yes,
FB-00530,APP-0203,STG-0113,IV-018,2026-08-23,No,Location mismatch
FB-00531,APP-0204,STG-0061,IV-012,2026-07-22,Yes,
FB-00532,APP-0204,STG-0062,IV-001,2026-07-25,No,Missing required skill
FB-00533,APP-0205,STG-0061,IV-009,2026-08-03,Yes,
FB-00534,APP-0205,STG-0062,IV-008,2026-08-05,No,Too junior for role level
FB-00535,APP-0206,STG-0061,IV-001,2026-08-03,Yes,
FB-00536,APP-0206,STG-0062,IV-008,2026-08-04,Yes,
FB-00537,APP-0206,STG-0063,IV-014,2026-08-05,Yes,
FB-00538,APP-0206,STG-0064,IV-009,2026-08-08,Yes,
FB-00539,APP-0206,STG-0065,IV-001,2026-08-08,Yes,
FB-00540,APP-0206,STG-0066,IV-009,2026-08-10,Yes,
FB-00541,APP-0206,STG-0067,IV-001,2026-08-16,Yes,
FB-00542,APP-0207,STG-0061,IV-009,2026-08-20,No,Location mismatch
FB-00543,APP-0208,STG-0061,IV-001,2026-07-28,Yes,
FB-00544,APP-0208,STG-0062,IV-013,2026-07-29,No,Too junior for role level
FB-00545,APP-0209,STG-0061,IV-001,2026-08-05,No,Not good team fit
FB-00546,APP-0210,STG-0061,IV-008,2026-08-03,Yes,
FB-00547,APP-0210,STG-0062,IV-012,2026-08-04,No,Too junior for role level
FB-00548,APP-0211,STG-0061,IV-008,2026-08-11,Yes,
FB-00549,APP-0211,STG-0062,IV-013,2026-08-14,Yes,
FB-00550,APP-0211,STG-0063,IV-013,2026-08-17,Yes,
FB-00551,APP-0211,STG-0064,IV-010,2026-08-17,Yes,
FB-00552,APP-0211,STG-0065,IV-001,2026-08-19,No,Salary expectations misaligned
FB-00553,APP-0212,STG-0061,IV-001,2026-08-09,Yes,
FB-00554,APP-0212,STG-0062,IV-008,2026-08-09,No,Failed coding bar
FB-00555,APP-0213,STG-0061,IV-008,2026-08-17,Yes,
FB-00556,APP-0213,STG-0062,IV-011,2026-08-19,Yes,
FB-00557,APP-0213,STG-0063,IV-011,2026-08-22,Yes,
FB-00558,APP-0213,STG-0064,IV-011,2026-08-22,No,Commute concerns
FB-00559,APP-0214,STG-0061,IV-001,2026-08-10,No,Commute concerns
FB-00560,APP-0215,STG-0061,IV-008,2026-08-16,Yes,
FB-00561,APP-0215,STG-0062,IV-009,2026-08-16,Yes,
FB-00562,APP-0215,STG-0063,IV-001,2026-08-18,No,Too junior for role level
FB-00563,APP-0216,STG-0026,IV-001,2026-07-15,No,Location mismatch
FB-00564,APP-0217,STG-0026,IV-001,2026-08-16,No,Missing required skill
FB-00565,APP-0218,STG-0026,IV-007,2026-07-19,No,Too junior for role level
FB-00566,APP-0219,STG-0026,IV-001,2026-08-18,Yes,
FB-00567,APP-0219,STG-0027,IV-001,2026-08-21,Yes,
FB-00568,APP-0219,STG-0028,IV-001,2026-08-22,No,Failed coding bar
FB-00569,APP-0220,STG-0026,IV-009,2026-07-24,No,Not good team fit
FB-00570,APP-0221,STG-0026,IV-003,2026-07-25,Yes,
FB-00571,APP-0221,STG-0027,IV-003,2026-07-26,No,Commute concerns
FB-00572,APP-0222,STG-0026,IV-009,2026-07-20,Yes,
FB-00573,APP-0222,STG-0027,IV-001,2026-07-20,Yes,
FB-00574,APP-0222,STG-0028,IV-008,2026-07-21,Yes,
FB-00575,APP-0222,STG-0029,IV-005,2026-07-26,No,Too junior for role level
FB-00576,APP-0223,STG-0026,IV-003,2026-07-23,Yes,
FB-00577,APP-0223,STG-0027,IV-001,2026-07-23,No,Location mismatch
FB-00578,APP-0224,STG-0130,IV-001,2026-07-26,No,Commute concerns
FB-00579,APP-0225,STG-0130,IV-016,2026-08-12,Yes,
FB-00580,APP-0225,STG-0131,IV-016,2026-08-12,Yes,
FB-00581,APP-0225,STG-0132,IV-001,2026-08-17,Yes,
FB-00582,APP-0225,STG-0133,IV-017,2026-08-19,Yes,
FB-00583,APP-0225,STG-0134,IV-001,2026-08-19,Yes,
FB-00584,APP-0225,STG-0135,IV-016,2026-08-19,Yes,
FB-00585,APP-0225,STG-0136,IV-001,2026-08-21,Yes,
FB-00586,APP-0225,STG-0137,IV-018,2026-08-24,Yes,
FB-00587,APP-0226,STG-0130,IV-001,2026-07-26,Yes,
FB-00588,APP-0226,STG-0131,IV-009,2026-07-28,Yes,
FB-00589,APP-0226,STG-0132,IV-008,2026-07-29,No,Salary expectations misaligned
FB-00590,APP-0227,STG-0130,IV-016,2026-08-18,Yes,
FB-00591,APP-0227,STG-0131,IV-001,2026-08-19,Yes,
FB-00592,APP-0227,STG-0132,IV-009,2026-08-20,Yes,
FB-00593,APP-0227,STG-0133,IV-018,2026-08-22,Yes,
FB-00594,APP-0227,STG-0134,IV-009,2026-08-22,Yes,
FB-00595,APP-0227,STG-0135,IV-018,2026-08-25,Yes,
FB-00596,APP-0227,STG-0136,IV-009,2026-08-25,Yes,
FB-00597,APP-0227,STG-0137,IV-009,2026-08-29,Yes,
FB-00598,APP-0228,STG-0130,IV-015,2026-08-13,No,Too junior for role level
FB-00599,APP-0229,STG-0130,IV-008,2026-08-06,Yes,
FB-00600,APP-0229,STG-0131,IV-001,2026-08-06,No,Insufficient years of experience
FB-00601,APP-0230,STG-0130,IV-009,2026-08-14,Yes,
FB-00602,APP-0230,STG-0131,IV-018,2026-08-16,No,Not good team fit
FB-00603,APP-0231,STG-0130,IV-008,2026-08-15,Yes,
FB-00604,APP-0231,STG-0131,IV-001,2026-08-16,Yes,
FB-00605,APP-0231,STG-0132,IV-001,2026-08-19,Yes,
FB-00606,APP-0231,STG-0133,IV-015,2026-08-23,No,Failed coding bar
FB-00607,APP-0232,STG-0130,IV-001,2026-08-06,Yes,
FB-00608,APP-0232,STG-0131,IV-001,2026-08-09,Yes,
FB-00609,APP-0232,STG-0132,IV-015,2026-08-11,No,Missing required skill
FB-00610,APP-0233,STG-0130,IV-016,2026-08-08,Yes,
FB-00611,APP-0233,STG-0131,IV-001,2026-08-09,No,Commute concerns
FB-00612,APP-0234,STG-0130,IV-017,2026-08-12,No,Failed coding bar
FB-00613,APP-0235,STG-0130,IV-001,2026-08-11,No,Location mismatch
FB-00614,APP-0236,STG-0130,IV-001,2026-07-25,No,Too junior for role level
FB-00615,APP-0237,STG-0009,IV-007,2026-08-07,Yes,
FB-00616,APP-0237,STG-0010,IV-001,2026-08-07,Yes,
FB-00617,APP-0237,STG-0011,IV-005,2026-08-08,Yes,
FB-00618,APP-0237,STG-0012,IV-005,2026-08-11,Yes,
FB-00619,APP-0237,STG-0013,IV-001,2026-08-14,Yes,
FB-00620,APP-0237,STG-0014,IV-006,2026-08-14,Yes,
FB-00621,APP-0237,STG-0015,IV-007,2026-08-18,No,Declined - total comp below market for Staff level
FB-00622,APP-0238,STG-0009,IV-008,2026-08-16,Yes,
FB-00623,APP-0238,STG-0010,IV-001,2026-08-17,No,Insufficient years of experience
FB-00624,APP-0239,STG-0009,IV-008,2026-08-13,No,Not good team fit
FB-00625,APP-0240,STG-0009,IV-001,2026-08-11,No,Commute concerns
FB-00626,APP-0241,STG-0009,IV-001,2026-08-09,Yes,
FB-00627,APP-0241,STG-0010,IV-001,2026-08-11,Yes,
FB-00628,APP-0241,STG-0011,IV-006,2026-08-12,Yes,
FB-00629,APP-0241,STG-0012,IV-007,2026-08-13,Yes,
FB-00630,APP-0241,STG-0013,IV-001,2026-08-17,Yes,
FB-00631,APP-0241,STG-0014,IV-001,2026-08-19,Yes,
FB-00632,APP-0241,STG-0015,IV-001,2026-08-20,Yes,
FB-00633,APP-0242,STG-0009,IV-008,2026-08-14,Yes,
FB-00634,APP-0242,STG-0010,IV-001,2026-08-17,Yes,
FB-00635,APP-0242,STG-0011,IV-001,2026-08-22,Yes,
FB-00636,APP-0242,STG-0012,IV-006,2026-08-24,No,Salary expectations misaligned
FB-00637,APP-0243,STG-0009,IV-001,2026-08-14,Yes,
FB-00638,APP-0243,STG-0010,IV-005,2026-08-14,No,Failed coding bar
FB-00639,APP-0244,STG-0009,IV-003,2026-08-18,Yes,
FB-00640,APP-0244,STG-0010,IV-001,2026-08-18,Yes,
FB-00641,APP-0244,STG-0011,IV-001,2026-08-19,No,Commute concerns
FB-00642,APP-0245,STG-0009,IV-008,2026-08-10,Yes,
FB-00643,APP-0245,STG-0010,IV-005,2026-08-10,Yes,
FB-00644,APP-0245,STG-0011,IV-001,2026-08-15,Yes,
FB-00645,APP-0245,STG-0012,IV-005,2026-08-15,Yes,
FB-00646,APP-0245,STG-0013,IV-007,2026-08-17,Yes,
FB-00647,APP-0245,STG-0014,IV-001,2026-08-17,No,Not good team fit
FB-00648,APP-0246,STG-0009,IV-001,2026-08-12,Yes,
FB-00649,APP-0246,STG-0010,IV-002,2026-08-14,No,Commute concerns
FB-00650,APP-0247,STG-0009,IV-008,2026-08-17,Yes,
FB-00651,APP-0247,STG-0010,IV-001,2026-08-18,Yes,
FB-00652,APP-0247,STG-0011,IV-009,2026-08-23,Yes,
FB-00653,APP-0247,STG-0012,IV-001,2026-08-23,Yes,
FB-00654,APP-0247,STG-0013,IV-001,2026-08-25,No,Not good team fit
FB-00655,APP-0248,STG-0009,IV-001,2026-08-10,Yes,
FB-00656,APP-0248,STG-0010,IV-001,2026-08-12,Yes,
FB-00657,APP-0248,STG-0011,IV-001,2026-08-17,Yes,
FB-00658,APP-0248,STG-0012,IV-001,2026-08-21,Yes,
FB-00659,APP-0248,STG-0013,IV-002,2026-08-23,Yes,
FB-00660,APP-0248,STG-0014,IV-005,2026-08-23,Yes,
FB-00661,APP-0248,STG-0015,IV-001,2026-09-02,Yes,
FB-00662,APP-0249,STG-0009,IV-001,2026-08-13,Yes,
FB-00663,APP-0249,STG-0010,IV-001,2026-08-13,Yes,
FB-00664,APP-0249,STG-0011,IV-001,2026-08-17,Yes,
FB-00665,APP-0249,STG-0012,IV-004,2026-08-19,Yes,
FB-00666,APP-0249,STG-0013,IV-001,2026-08-23,Yes,
FB-00667,APP-0249,STG-0014,IV-007,2026-08-23,Yes,
FB-00668,APP-0249,STG-0015,IV-004,2026-09-02,Yes,
FB-00669,APP-0250,STG-0009,IV-004,2026-08-08,No,Too junior for role level
FB-00670,APP-0251,STG-0009,IV-001,2026-08-10,Yes,
FB-00671,APP-0251,STG-0010,IV-001,2026-08-11,Yes,
FB-00672,APP-0251,STG-0011,IV-001,2026-08-15,Yes,
FB-00673,APP-0251,STG-0012,IV-003,2026-08-18,Yes,
FB-00674,APP-0251,STG-0013,IV-009,2026-08-20,Yes,
FB-00675,APP-0251,STG-0014,IV-001,2026-08-20,Yes,
FB-00676,APP-0251,STG-0015,IV-001,2026-08-30,Yes,
FB-00677,APP-0252,STG-0009,IV-001,2026-08-14,No,Failed coding bar
FB-00678,APP-0253,STG-0069,IV-011,2026-08-19,Yes,
FB-00679,APP-0253,STG-0070,IV-001,2026-08-19,No,Salary expectations misaligned
FB-00680,APP-0254,STG-0069,IV-009,2026-08-14,Yes,
FB-00681,APP-0254,STG-0070,IV-001,2026-08-17,No,Failed coding bar
FB-00682,APP-0255,STG-0069,IV-012,2026-08-18,Yes,
FB-00683,APP-0255,STG-0070,IV-010,2026-08-21,Yes,
FB-00684,APP-0255,STG-0071,IV-001,2026-08-23,Yes,
FB-00685,APP-0255,STG-0072,IV-010,2026-08-25,No,Salary expectations misaligned
FB-00686,APP-0256,STG-0069,IV-001,2026-08-15,Yes,
FB-00687,APP-0256,STG-0070,IV-001,2026-08-16,Yes,
FB-00688,APP-0256,STG-0071,IV-001,2026-08-18,Yes,
FB-00689,APP-0256,STG-0072,IV-013,2026-08-21,Yes,
FB-00690,APP-0256,STG-0073,IV-001,2026-08-28,No,Could not articulate component architecture patterns
FB-00691,APP-0257,STG-0069,IV-009,2026-08-10,Yes,
FB-00692,APP-0257,STG-0070,IV-009,2026-08-12,Yes,
FB-00693,APP-0257,STG-0071,IV-009,2026-08-12,No,Salary expectations misaligned
FB-00694,APP-0258,STG-0069,IV-013,2026-08-13,No,Location mismatch
FB-00695,APP-0259,STG-0069,IV-001,2026-08-19,Yes,
FB-00696,APP-0259,STG-0070,IV-012,2026-08-21,Yes,
FB-00697,APP-0259,STG-0071,IV-010,2026-08-24,Yes,
FB-00698,APP-0259,STG-0072,IV-013,2026-08-24,Yes,
FB-00699,APP-0259,STG-0073,IV-010,2026-08-31,No,Insufficient experience designing large SPA systems
FB-00700,APP-0260,STG-0069,IV-001,2026-08-18,Yes,
FB-00701,APP-0260,STG-0070,IV-001,2026-08-20,No,Not good team fit
FB-00702,APP-0261,STG-0069,IV-010,2026-08-12,Yes,
FB-00703,APP-0261,STG-0070,IV-001,2026-08-15,Yes,
FB-00704,APP-0261,STG-0071,IV-011,2026-08-17,No,Insufficient years of experience
FB-00705,APP-0262,STG-0069,IV-001,2026-08-12,Yes,
FB-00706,APP-0262,STG-0070,IV-013,2026-08-13,Yes,
FB-00707,APP-0262,STG-0071,IV-010,2026-08-13,Yes,
FB-00708,APP-0262,STG-0072,IV-008,2026-08-15,Yes,
FB-00709,APP-0262,STG-0073,IV-012,2026-08-16,No,Insufficient experience designing large SPA systems
FB-00710,APP-0263,STG-0069,IV-008,2026-08-13,Yes,
FB-00711,APP-0263,STG-0070,IV-001,2026-08-14,Yes,
FB-00712,APP-0263,STG-0071,IV-001,2026-08-16,Yes,
FB-00713,APP-0263,STG-0072,IV-009,2026-08-20,Yes,
FB-00714,APP-0263,STG-0073,IV-014,2026-08-24,No,Missing system design skills for frontend architecture
FB-00715,APP-0264,STG-0009,IV-009,2026-05-03,No,Commute concerns
FB-00716,APP-0265,STG-0009,IV-001,2026-05-12,Yes,
FB-00717,APP-0265,STG-0010,IV-001,2026-05-15,No,Location mismatch
FB-00718,APP-0266,STG-0009,IV-001,2026-05-16,Yes,
FB-00719,APP-0266,STG-0010,IV-003,2026-05-16,Yes,
FB-00720,APP-0266,STG-0011,IV-001,2026-05-19,No,Not good team fit
FB-00721,APP-0267,STG-0009,IV-003,2026-05-17,No,Commute concerns
FB-00722,APP-0268,STG-0009,IV-006,2026-04-28,Yes,
FB-00723,APP-0268,STG-0010,IV-002,2026-05-01,Yes,
FB-00724,APP-0268,STG-0011,IV-006,2026-05-05,No,Salary expectations misaligned
FB-00725,APP-0269,STG-0053,IV-001,2026-06-06,No,Location mismatch
FB-00726,APP-0270,STG-0053,IV-001,2026-05-11,No,Insufficient years of experience
FB-00727,APP-0271,STG-0053,IV-008,2026-05-08,Yes,
FB-00728,APP-0271,STG-0054,IV-001,2026-05-09,Yes,
FB-00729,APP-0271,STG-0055,IV-001,2026-05-09,Yes,
FB-00730,APP-0271,STG-0056,IV-011,2026-05-13,Yes,
FB-00731,APP-0271,STG-0057,IV-001,2026-05-14,No,Location mismatch
FB-00732,APP-0272,STG-0053,IV-001,2026-06-22,No,Location mismatch
FB-00733,APP-0273,STG-0053,IV-001,2026-06-17,Yes,
FB-00734,APP-0273,STG-0054,IV-009,2026-06-19,No,Failed coding bar
FB-00735,APP-0274,STG-0053,IV-009,2026-05-06,Yes,
FB-00736,APP-0274,STG-0054,IV-001,2026-05-09,Yes,
FB-00737,APP-0274,STG-0055,IV-001,2026-05-13,Yes,
FB-00738,APP-0274,STG-0056,IV-012,2026-05-15,No,Missing required skill
FB-00739,APP-0275,STG-0053,IV-001,2026-05-23,Yes,
FB-00740,APP-0275,STG-0054,IV-001,2026-05-24,Yes,
FB-00741,APP-0275,STG-0055,IV-009,2026-05-27,Yes,
FB-00742,APP-0275,STG-0056,IV-001,2026-05-29,Yes,
FB-00743,APP-0275,STG-0057,IV-001,2026-05-31,No,Location mismatch
FB-00744,APP-0276,STG-0053,IV-001,2026-06-28,Yes,
FB-00745,APP-0276,STG-0054,IV-014,2026-07-01,No,Failed coding bar
FB-00746,APP-0277,STG-0053,IV-001,2026-05-17,Yes,
FB-00747,APP-0277,STG-0054,IV-001,2026-05-20,No,Failed coding bar
FB-00748,APP-0278,STG-0053,IV-008,2026-06-21,Yes,
FB-00749,APP-0278,STG-0054,IV-009,2026-06-23,Yes,
FB-00750,APP-0278,STG-0055,IV-001,2026-06-28,Yes,
FB-00751,APP-0278,STG-0056,IV-001,2026-07-02,No,Not good team fit
FB-00752,APP-0279,STG-0026,IV-001,2026-05-03,No,Not good team fit
FB-00753,APP-0280,STG-0026,IV-001,2026-05-06,No,Failed coding bar
